"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-1.1796227185689,0.964,0.996,0,"0","MALAT1"
0,1.59823662850682,0.891,0.919,0,"0","PPDPF"
0,1.77205192260554,0.953,0.935,0,"0","GNAS"
0,1.66760401504326,0.925,0.911,0,"0","HSP90AA1"
0,1.41463304239819,0.959,0.949,0,"0","SERF2"
1.97626258336499e-323,-0.653939441395377,0.15,0.676,4.40528692457889e-319,"0","EIF3G"
4.94065645841247e-323,-0.634227550167389,0.09,0.566,1.10132173114472e-318,"0","TGOLN2"
1.80432773861223e-320,-2.0122528972779,0.034,0.446,4.02202696214053e-316,"0","UPP1"
5.51772513275504e-320,2.62587914915137,0.573,0.301,1.22995610934243e-315,"0","AGR2"
6.4623786476035e-320,-1.29090798600316,0.08,0.534,1.4405288243373e-315,"0","PRMT2"
1.67853862518105e-317,-0.738793564598556,0.103,0.583,3.74163044939108e-313,"0","PSMB8"
7.69119401865756e-317,-0.691813430433821,0.104,0.585,1.71444405869896e-312,"0","GSTK1"
3.04952049650776e-316,-1.74748080114849,0.073,0.513,6.79768613876546e-312,"0","DUSP1"
2.93500799666514e-315,-0.552023899275355,0.161,0.694,6.54242632536626e-311,"0","ARL6IP5"
2.89694419710703e-314,-0.736679406107016,0.188,0.732,6.45757830977127e-310,"0","SEPT7"
1.81804933782676e-313,-0.92667782555546,0.112,0.592,4.05261377894963e-309,"0","AHNAK"
2.52865287524155e-310,-0.973925995289255,0.066,0.503,5.63662012420094e-306,"0","ANKRD11"
8.81998098524756e-310,-1.99528501852016,0.083,0.517,1.96606196142153e-305,"0","ITGB2"
4.0308869060003e-308,-1.14336863418795,0.066,0.499,8.98525000216526e-304,"0","AKAP13"
9.35978800189525e-305,-0.965794860077075,0.065,0.496,2.08639034350247e-300,"0","PYCARD"
1.42901865908092e-304,-0.875038118815133,0.047,0.462,3.18542549295727e-300,"0","OS9"
8.96060163183346e-304,-0.626169412491117,0.176,0.707,1.997407709752e-299,"0","NOP53"
4.48730784286118e-303,-0.564424120667912,0.133,0.631,1.00026579125219e-298,"0","DDX3X"
2.66985461044009e-302,-0.722112404303703,0.169,0.69,5.95137291213201e-298,"0","GNAI2"
3.06718284553184e-302,-1.11326514276199,0.064,0.489,6.83705728097503e-298,"0","MACF1"
5.57865348586035e-302,-0.617860995736111,0.1,0.565,1.24353764853313e-297,"0","TMEM50A"
3.43633530450669e-301,-1.27009957976686,0.117,0.578,7.65993502727586e-297,"0","JUN"
6.07323615647558e-300,-0.970602704379699,0.105,0.564,1.35378507163997e-295,"0","RNF213"
2.73620808991513e-299,-0.586115560734582,0.101,0.564,6.09928145322981e-295,"0","WASF2"
8.99869051078217e-298,-0.902928357298645,0.097,0.551,2.00589810175845e-293,"0","GSTO1"
9.25639481256004e-298,2.280098446538,0.632,0.442,2.06334296766776e-293,"0","ADIRF"
1.69253333895099e-297,-0.622248821290327,0.088,0.537,3.77282606585565e-293,"0","TAPBP"
1.10431965073367e-296,-0.457479332924419,0.14,0.639,2.46163893345043e-292,"0","SON"
1.01221180270312e-293,-0.839612684851276,0.094,0.54,2.25632132940552e-289,"0","HERPUD1"
2.00939084738485e-293,-0.567082012254786,0.091,0.54,4.47913313790556e-289,"0","EIF3D"
4.09967412840748e-293,-2.00474530383509,0.048,0.446,9.13858359963311e-289,"0","LSP1"
