"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.15619012919505e-24,0.39713038512982,0.194,0.069,1.37227634169887e-19,"5","SLC25A16"
7.32143328090981e-17,0.39684682792399,0.704,0.523,1.63202069264761e-12,"5","ATP6V1F"
2.8937519615736e-20,0.396763334205927,0.46,0.251,6.45046249754371e-16,"5","MPC1"
4.64951578847247e-19,0.39666781260614,0.5,0.286,1.0364235644084e-14,"5","HDDC2"
8.20738321861997e-13,0.39661095174238,0.298,0.161,1.82950779326258e-08,"5","DEXI"
1.77491442803932e-27,0.396491231895365,0.397,0.187,3.95646175154244e-23,"5","MRPL9"
4.26800828303754e-23,0.396443494715482,0.156,0.051,9.51381726371898e-19,"5","MAGI1"
0.00758855858900099,0.396395519968299,0.057,0.034,1,"5","LINC01137"
0.000696636526924533,0.39563437550524,0.079,0.045,1,"5","FEM1C"
1.40855123759184e-25,0.395380532457282,0.063,0.01,3.13980156371597e-21,"5","ABCB9"
3.21914852308276e-14,0.395300584005598,0.251,0.124,7.17580397280378e-10,"5","MED21"
2.26989977514755e-14,0.395278322795269,0.291,0.151,5.05983358878141e-10,"5","HNRNPL"
1.36747739089379e-23,0.395245329957919,0.362,0.171,3.04824385204136e-19,"5","CHMP1A"
4.23590075676911e-15,0.394677420669305,0.542,0.342,9.44224637691403e-11,"5","NDUFA6"
1.05687345068103e-05,0.394445277896476,0.2,0.124,0.235587660891308,"5","PI4KB"
2.23066863272766e-14,0.394422949333705,0.012,0.001,4.97238344921324e-10,"5","LINC01348"
9.7380092559785e-33,0.394387118786255,0.132,0.031,2.17069964325017e-28,"5","PDSS1"
2.99354942584093e-21,0.394152142176104,0.298,0.134,6.67292102514202e-17,"5","AIMP2"
9.45097421580813e-09,0.393882959692288,0.684,0.569,0.000210671666244579,"5","SQSTM1"
2.92355572652485e-15,0.393842063994335,0.407,0.23,6.51689806999655e-11,"5","C12orf10"
0.000989751283622156,0.393782045718812,0.018,0.006,1,"5","CD40LG"
5.77919324937002e-07,0.393747018485656,0.312,0.197,0.0128823996721707,"5","ACADM"
4.79097449906292e-13,0.393680872678593,0.204,0.098,1.06795612558611e-08,"5","GPANK1"
5.64411016276207e-11,0.393460624908688,0.721,0.569,1.25812859638129e-06,"5","FIS1"
1.29383997164337e-07,0.393328921072543,0.595,0.431,0.00288409868079023,"5","ETFB"
7.2657180690171e-22,0.393311940357372,0.304,0.136,1.6196012147646e-17,"5","CUL4A"
2.4634340024406e-21,0.393195865581697,0.042,0.006,5.49124073484034e-17,"5","RASSF6"
2.41961049597283e-11,0.393123425159577,0.206,0.103,5.39355375657305e-07,"5","TEX261"
4.46235278442661e-08,0.393094976404325,0.016,0.002,0.000994703059176535,"5","LINC01238"
1.73304505334409e-22,0.393063767953833,0.439,0.228,3.8631307284093e-18,"5","PDHA1"
1.0084439644279e-05,0.392948110223782,0.065,0.03,0.224792244110623,"5","SNAPC4"
2.30880357222402e-27,0.392878503703493,0.237,0.088,5.14655404284457e-23,"5","WWC1"
2.13179890314312e-32,0.392728748641293,0.458,0.22,4.75199293499634e-28,"5","RAMMET"
1.1350620007685e-09,0.392644065844969,0.372,0.243,2.53016670591305e-05,"5","MGLL"
2.97239249418442e-22,0.392371538363277,0.395,0.199,6.62576010878649e-18,"5","EXOSC1"
1.51546043143074e-10,0.392279735665316,0.089,0.034,3.37811284770227e-06,"5","MAST2"
1.89164758905117e-13,0.392115426690115,0.281,0.145,4.21667164075397e-09,"5","TRAPPC12"
3.96973195275102e-12,0.391879964623962,0.536,0.375,8.8489294958773e-08,"5","RHOB"
8.29023657781892e-19,0.391545153301119,0.091,0.025,1.84797663556161e-14,"5","NKX3-1"
0.000124023708072466,0.391436696764124,0.227,0.157,1,"5","PALLD"
5.43991477764648e-34,0.391382878982794,0.399,0.165,1.21261140308518e-29,"5","RAB20"
1.35091467661595e-30,0.391380738649056,0.075,0.012,3.0113239056446e-26,"5","EPB41L4B"
3.5706274024766e-32,0.390981464937397,0.37,0.156,7.95928554286058e-28,"5","ZMYND11"
0.00163101404306531,0.390962489578355,0.051,0.027,1,"5","POT1"
1.23695324632565e-15,0.390920135362723,0.198,0.086,2.75729248138451e-11,"5","C2orf49"
1.65601569144415e-20,0.390852486509771,0.111,0.032,3.69142457779816e-16,"5","SPATA5"
1.81027433876734e-16,0.390597686786512,0.51,0.316,4.03528252854628e-12,"5","EPRS"
1.75967283191518e-09,0.390396839378301,0.233,0.13,3.92248670962213e-05,"5","POLR3H"
1.31875537892326e-30,0.3902549763183,0.413,0.188,2.93963761515784e-26,"5","AK2"
1.73643472999223e-12,0.390248472692471,0.437,0.266,3.87068665662567e-08,"5","GTPBP6"
2.9638682446498e-07,0.390206653013148,0.067,0.027,0.00660675870414887,"5","ZNF273"
1.37642794144092e-07,0.390125799726667,0.211,0.124,0.00306819552426596,"5","RANBP9"
3.3940064430386e-11,0.390064133443754,0.206,0.105,7.56557976217734e-07,"5","SSBP2"
1.92205232626005e-46,0.389972136548325,0.304,0.095,4.28444684046627e-42,"5","RGL2"
0.000150884026924171,0.389834754284627,0.547,0.493,1,"5","MTRNR2L12"
2.41353852015354e-05,0.38958144054219,0.045,0.018,0.538001871527426,"5","CDKL5"
1.00130616867741e-14,0.38946026824258,0.089,0.028,2.23201158059883e-10,"5","SERP2"
1.05587425096788e-41,0.389245934502979,0.134,0.026,2.35364929283249e-37,"5","SLC37A1"
3.81565628222622e-09,0.389086121827339,0.296,0.175,8.50547941871046e-05,"5","PLRG1"
1.4392306502404e-34,0.388700671030492,0.089,0.015,3.20818904245087e-30,"5","ARHGEF26"
8.68307117502689e-19,0.388375441661083,0.306,0.148,1.93554339562524e-14,"5","NUDT21"
2.69963101706434e-16,0.38836937114275,0.225,0.103,6.01774750013812e-12,"5","GGCX"
3.52721219920592e-08,0.387974453787045,0.071,0.028,0.00078625087132499,"5","GTF2E1"
6.84518141086252e-05,0.387879281571191,0.042,0.017,1,"5","SCN8A"
3.07359483253326e-28,0.387418882989382,0.095,0.019,6.8513502411999e-24,"5","SLC25A35"
5.01295628876291e-18,0.387340848867804,0.206,0.086,1.11743808632814e-13,"5","MPP7"
4.65031710731514e-11,0.387185626447277,0.079,0.027,1.03660218639162e-06,"5","ZNF398"
9.79421606813777e-12,0.386922279504741,0.387,0.232,2.18322870374859e-07,"5","LSM6"
4.91964585471554e-16,0.38683840353961,0.287,0.14,1.09663825747464e-11,"5","ADK"
1.20451778431225e-24,0.38656871642711,0.589,0.349,2.68499059301044e-20,"5","ARPC5L"
1.07618368675373e-20,0.386337796880961,0.492,0.287,2.39892105614274e-16,"5","METTL5"
6.4801687210127e-32,0.386272581403561,0.431,0.197,1.44449440960094e-27,"5","PDCL3"
2.12265488724304e-26,0.386183521529415,0.221,0.08,4.73161000915346e-22,"5","MED24"
4.50902685953429e-17,0.385761678048145,0.314,0.158,1.00510717725879e-12,"5","SNAPIN"
2.05195989098752e-14,0.385349790469115,0.569,0.373,4.57402379300028e-10,"5","ECHS1"
3.47771849667591e-05,0.384573266588689,0.089,0.047,0.775218230094027,"5","POLI"
0.000620426319335344,0.384200055028913,0.184,0.124,1,"5","DUSP14"
6.63131642670215e-16,0.384044559385672,0.423,0.238,1.47818674467618e-11,"5","SRP54"
